code,name,sector,netProfit亿元,netProfitGrowth%,netProfitGrowthText,netProfitPositive,verificationStatus,sourceLevel,sourceName,sourceUrl,announcementDate
603986.SH,兆易创新,存储芯片/存储产品,16.48,49.47,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-31/1225061348.PDF,2026-03-31
002156.SZ,通富微电,先进封装,12.1870814338,79.86,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-17/1225112761.PDF,2026-04-17
002185.SZ,华天科技,先进封装,7.1050857643,15.3,,True,verified,正式披露链接已写入,2025年年度报告摘要（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-31/1225059981.PDF,2026-03-31
600584.SH,长电科技,先进封装,15.6523803645,-2.75,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
603005.SH,晶方科技,先进封装,3.6961769492,46.23,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
600487.SH,亨通光电,光纤光缆,26.8026933843,-3.2,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260424/a002e98437674fb193db263d37bec1e4.PDF,2026-04-24
600522.SH,中天科技,光纤光缆,29.02,2.25,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260424/d18fd33ca71c4c7587cc618172aa89fc.PDF,2026-04-24
601869.SH,长飞光纤,光纤光缆,8.13737266,20.4,,True,verified,正式披露链接已写入,2025年年度报告摘要（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260327/4b706880af134998973ab2010fbcbc87.PDF,2026-03-27
000636.SZ,风华高科,MLCC/被动元件,2.8331671704,-16.02,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-21/1225129319.PDF,2026-04-21
300285.SZ,国瓷材料,MLCC/被动元件,6.1031912759,0.91,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
300408.SZ,三环集团,MLCC/被动元件,26.1838430384,19.54,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-28/1225041593.PDF,2026-03-28
603678.SH,火炬电子,MLCC/被动元件,3.197672,64.39,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-03-31/1225055912.PDF,2026-03-31
603890.SH,春秋电子,AI PC,2.84896087,34.82,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260421/2b2a98010b12457380c11fd19239ea99.PDF,2026-04-22
000938.SZ,紫光股份,AI服务器,16.86,7.19,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-15/1225101865.PDF,2026-04-15
000977.SZ,浪潮信息,AI服务器,24.128663,5.2,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096637.PDF,2026-04-11
601138.SH,工业富联,AI服务器,352.86,51.99,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
603019.SH,中科曙光,AI服务器,21.76,13.87,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
002222.SZ,福晶科技,OCS光交换产业链,2.7857446452,27.32,,True,verified,正式披露链接已写入,2025年年度报告（深交所）,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-29/e9bd477a-80ab-4469-b8af-ba7ee4bcbbd2.pdf,2026-04-29
300620.SZ,光库科技,OCS光交换产业链,1.7667291107,163.76,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
605580.SH,恒盛能源,培育钻石/超硬材料,1.56,14.2,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
002962.SZ,五方光电,玻璃基板/玻璃载板,0.371317,-42.98,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
003031.SZ,中瓷电子,陶瓷基板/电子陶瓷,5.6267469041,4.36,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-29/1225224990.PDF,2026-04-29
603936.SH,博敏电子,陶瓷基板/电子陶瓷,0.0661172213,,扭亏为盈,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260427/8866a3e59711431db8689c93de60c392.PDF,2026-04-27
002130.SZ,沃尔核材,高速连接,11.44,34.96,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
